experiment_id,experiment_version,cell_id,task_id,repository,task_type,condition,model,reasoning_effort,repeat,status,terminal_reason,recall_at_3,recall_at_5,ndcg_at_3,returned_set_f1,provider_total_tokens,elapsed_seconds,agent_step_count,wiki_read_count,wiki_tokens,unique_wiki_pages,beyond_entry_reads,gold_seen_any,gold_seen_by_3_source_actions,gold_targeted_any
sympy-10-tasks,2026-09-01-v4,cell-000050,1050fe4e32ba39b88e8a1990d6ef4f44288c576e1aba73020eb693c6c2c72197,sympy/sympy,EXPLICIT_LOCATOR_CLUE,OPTIONAL,gpt-5.6-luna,medium,1,succeeded,,0.6666666666666666,0.6666666666666666,0.7653606369886217,0.8,155308,52.376,7,0,0,0,0,1,1,1
sympy-10-tasks,2026-09-01-v4,cell-000051,1050fe4e32ba39b88e8a1990d6ef4f44288c576e1aba73020eb693c6c2c72197,sympy/sympy,EXPLICIT_LOCATOR_CLUE,DOC-FIRST,gpt-5.6-luna,medium,1,succeeded,,0.6666666666666666,0.6666666666666666,0.7039180890341347,0.6666666666666666,149781,48.23,8,1,221,1,0,1,1,1
sympy-10-tasks,2026-09-01-v4,cell-000052,1050fe4e32ba39b88e8a1990d6ef4f44288c576e1aba73020eb693c6c2c72197,sympy/sympy,EXPLICIT_LOCATOR_CLUE,NO-DOC,gpt-5.6-luna,high,1,succeeded,,0.6666666666666666,0.6666666666666666,0.7039180890341347,0.6666666666666666,163062,59.561,5,0,0,0,0,1,1,1
sympy-10-tasks,2026-09-01-v4,cell-000053,1050fe4e32ba39b88e8a1990d6ef4f44288c576e1aba73020eb693c6c2c72197,sympy/sympy,EXPLICIT_LOCATOR_CLUE,OPTIONAL,gpt-5.6-luna,high,1,succeeded,,0.6666666666666666,0.6666666666666666,0.7653606369886217,0.5714285714285714,336502,74.524,8,0,0,0,0,1,1,1
sympy-10-tasks,2026-09-01-v4,cell-000054,1050fe4e32ba39b88e8a1990d6ef4f44288c576e1aba73020eb693c6c2c72197,sympy/sympy,EXPLICIT_LOCATOR_CLUE,DOC-FIRST,gpt-5.6-luna,high,1,succeeded,,0.6666666666666666,0.6666666666666666,0.7039180890341347,0.5714285714285714,144171,54.027,5,1,221,1,0,1,1,1
sympy-10-tasks,2026-09-01-v4,cell-000055,1050fe4e32ba39b88e8a1990d6ef4f44288c576e1aba73020eb693c6c2c72197,sympy/sympy,EXPLICIT_LOCATOR_CLUE,NO-DOC,gpt-5.6-terra,low,1,succeeded,,0.3333333333333333,0.3333333333333333,0.46927872602275644,0.5,11629,15.287,0,0,0,0,0,0,0,0
sympy-10-tasks,2026-09-01-v4,cell-000056,1050fe4e32ba39b88e8a1990d6ef4f44288c576e1aba73020eb693c6c2c72197,sympy/sympy,EXPLICIT_LOCATOR_CLUE,OPTIONAL,gpt-5.6-terra,low,1,succeeded,,0.0,0.0,0.0,0.0,11739,15.678,0,0,0,0,0,0,0,0
sympy-10-tasks,2026-09-01-v4,cell-000057,1050fe4e32ba39b88e8a1990d6ef4f44288c576e1aba73020eb693c6c2c72197,sympy/sympy,EXPLICIT_LOCATOR_CLUE,DOC-FIRST,gpt-5.6-terra,low,1,succeeded,,0.6666666666666666,0.6666666666666666,0.7039180890341347,0.6666666666666666,87237,44.228,4,1,221,1,0,1,1,1
sympy-10-tasks,2026-09-01-v4,cell-000058,1050fe4e32ba39b88e8a1990d6ef4f44288c576e1aba73020eb693c6c2c72197,sympy/sympy,EXPLICIT_LOCATOR_CLUE,NO-DOC,gpt-5.6-terra,medium,1,succeeded,,0.6666666666666666,0.6666666666666666,0.7039180890341347,0.6666666666666666,79231,27.89,3,0,0,0,0,1,1,1
sympy-10-tasks,2026-09-01-v4,cell-000059,1050fe4e32ba39b88e8a1990d6ef4f44288c576e1aba73020eb693c6c2c72197,sympy/sympy,EXPLICIT_LOCATOR_CLUE,OPTIONAL,gpt-5.6-terra,medium,1,succeeded,,0.6666666666666666,0.6666666666666666,0.7039180890341347,0.6666666666666666,57431,27.111,3,0,0,0,0,1,1,1
sympy-10-tasks,2026-09-01-v4,cell-000060,1050fe4e32ba39b88e8a1990d6ef4f44288c576e1aba73020eb693c6c2c72197,sympy/sympy,EXPLICIT_LOCATOR_CLUE,DOC-FIRST,gpt-5.6-terra,medium,1,succeeded,,0.6666666666666666,0.6666666666666666,0.7039180890341347,0.6666666666666666,105942,40.812,6,1,221,1,0,1,1,1
sympy-10-tasks,2026-09-01-v4,cell-000061,1050fe4e32ba39b88e8a1990d6ef4f44288c576e1aba73020eb693c6c2c72197,sympy/sympy,EXPLICIT_LOCATOR_CLUE,NO-DOC,gpt-5.6-terra,high,1,succeeded,,0.3333333333333333,0.3333333333333333,0.46927872602275644,0.4,98488,34.554,4,0,0,0,0,1,1,1
sympy-10-tasks,2026-09-01-v4,cell-000062,1050fe4e32ba39b88e8a1990d6ef4f44288c576e1aba73020eb693c6c2c72197,sympy/sympy,EXPLICIT_LOCATOR_CLUE,OPTIONAL,gpt-5.6-terra,high,1,succeeded,,0.6666666666666666,0.6666666666666666,0.7039180890341347,0.6666666666666666,53031,20.962,2,0,0,0,0,1,1,1
sympy-10-tasks,2026-09-01-v4,cell-000063,1050fe4e32ba39b88e8a1990d6ef4f44288c576e1aba73020eb693c6c2c72197,sympy/sympy,EXPLICIT_LOCATOR_CLUE,DOC-FIRST,gpt-5.6-terra,high,1,succeeded,,0.6666666666666666,0.6666666666666666,0.7039180890341347,0.5714285714285714,254750,365.818,8,1,221,1,0,1,1,1
sympy-10-tasks,2026-09-01-v4,cell-000064,1050fe4e32ba39b88e8a1990d6ef4f44288c576e1aba73020eb693c6c2c72197,sympy/sympy,EXPLICIT_LOCATOR_CLUE,NO-DOC,gpt-5.6-sol,low,1,succeeded,,0.3333333333333333,0.6666666666666666,0.46927872602275644,0.5,72023,28.498,3,0,0,0,0,1,1,1
sympy-10-tasks,2026-09-01-v4,cell-000065,1050fe4e32ba39b88e8a1990d6ef4f44288c576e1aba73020eb693c6c2c72197,sympy/sympy,EXPLICIT_LOCATOR_CLUE,OPTIONAL,gpt-5.6-sol,low,1,succeeded,,0.6666666666666666,0.6666666666666666,0.7039180890341347,0.6666666666666666,73739,332.509,3,0,0,0,0,1,1,1
sympy-10-tasks,2026-09-01-v4,cell-000066,1050fe4e32ba39b88e8a1990d6ef4f44288c576e1aba73020eb693c6c2c72197,sympy/sympy,EXPLICIT_LOCATOR_CLUE,DOC-FIRST,gpt-5.6-sol,low,1,succeeded,,0.3333333333333333,0.3333333333333333,0.46927872602275644,0.4,75512,336.18,4,1,221,1,0,1,1,1
sympy-10-tasks,2026-09-01-v4,cell-000067,1050fe4e32ba39b88e8a1990d6ef4f44288c576e1aba73020eb693c6c2c72197,sympy/sympy,EXPLICIT_LOCATOR_CLUE,NO-DOC,gpt-5.6-sol,medium,1,succeeded,,0.3333333333333333,0.3333333333333333,0.46927872602275644,0.4,95191,343.008,4,0,0,0,0,1,1,1
sympy-10-tasks,2026-09-01-v4,cell-000068,1050fe4e32ba39b88e8a1990d6ef4f44288c576e1aba73020eb693c6c2c72197,sympy/sympy,EXPLICIT_LOCATOR_CLUE,OPTIONAL,gpt-5.6-sol,medium,1,succeeded,,0.3333333333333333,0.3333333333333333,0.46927872602275644,0.4,153115,343.739,5,0,0,0,0,1,1,1
sympy-10-tasks,2026-09-01-v4,cell-000069,1050fe4e32ba39b88e8a1990d6ef4f44288c576e1aba73020eb693c6c2c72197,sympy/sympy,EXPLICIT_LOCATOR_CLUE,DOC-FIRST,gpt-5.6-sol,medium,1,succeeded,,0.3333333333333333,0.3333333333333333,0.46927872602275644,0.4,104465,345.387,6,1,221,1,0,1,1,1
sympy-10-tasks,2026-09-01-v4,cell-000070,1050fe4e32ba39b88e8a1990d6ef4f44288c576e1aba73020eb693c6c2c72197,sympy/sympy,EXPLICIT_LOCATOR_CLUE,NO-DOC,gpt-5.6-sol,high,1,succeeded,,0.3333333333333333,0.3333333333333333,0.46927872602275644,0.4,241545,357.347,5,0,0,0,0,1,1,1
sympy-10-tasks,2026-09-01-v4,cell-000071,1050fe4e32ba39b88e8a1990d6ef4f44288c576e1aba73020eb693c6c2c72197,sympy/sympy,EXPLICIT_LOCATOR_CLUE,OPTIONAL,gpt-5.6-sol,high,1,succeeded,,0.3333333333333333,0.3333333333333333,0.46927872602275644,0.4,91480,61.995,3,0,0,0,0,1,1,1
